text,parent_group,label,word_count
Weather induced effects on extensive air showers observed with the   surface detector of the Pierre Auger Observatory.   The rate of events measured with the surface detector of the Pierre Auger Observatory is found to be modulated by the weather conditions. This effect is due to the increasing amount of matter traversed by the shower as the ground pressure increases and to the inverse proportionality of the Moliere radius to the air density near ground. Air-shower simulations with different realistic profiles of the atmosphere support this interpretation of the observed effects.,astrophysics,0,90
"Spectrum of cosmic rays, produced in supernova remnants.   Nonlinear kinetic theory of cosmic ray (CR) acceleration in supernova remnants is employed to calculate CR spectra. The magnetic field in SNRs is assumed to be significantly amplified by the efficiently accelerating nuclear CR component. It is shown that the calculated CR spectra agree in a satisfactory way with the existing measurements up to the energy $10^{17}$ eV. The power law spectrum of protons extends up to the energy $3\times 10^{15}$ eV with a subsequent exponential cutoff. It gives a natural explanation for the observed knee in the Galactic CR spectrum. The maximum energy of the accelerated nuclei is proportional to their charge number $Z$. Therefore the break in the Galactic CR spectrum is the result of the contribution of progressively heavier species in the overall CR spectrum so that at $10^{17}$ eV the CR spectrum is dominated by iron group nuclei. It is shown that this component plus a suitably chosen extragalactic CR component can give a consistent description for the entire Galactic CR spectrum.",astrophysics,0,174
"Galactic Twins of the Ring Nebula Around SN1987A and a Possible LBV-like   Phase for Sk-69 202.   Some core-collapse supernovae show clear signs of interaction with dense circumstellar material that often appears to be non-spherical. Circumstellar nebulae around supernova progenitors provide clues to the origin of that asymmetry in immediate pre-supernova evolution. Here I discuss outstanding questions about the formation of the ring nebula around SN1987A and some implications of similar ring nebulae around Galactic B supergiants. Several clues hint that SN1987A's nebula may have been ejected in an LBV-like event, rather than through interacting winds in a transition from a red supergiant to a blue supergiant.",astrophysics,0,106
"Comparison of Magnetic Flux Distribution between a Coronal Hole and a   Quiet Region.   Employing Big Bear Solar Observatory (BBSO) deep magnetograms and H${\alpha}$ images in a quiet region and a coronal hole, observed on September 14 and 16, 2004, respectively, we have explored the magnetic flux emergence, disappearance and distribution in the two regions. The following results are obtained: (1) The evolution of magnetic flux in the quiet region is much faster than that in the coronal hole, as the flux appeared in the form of ephemeral regions in the quiet region is 4.3 times as large as that in the coronal hole, and the flux disappeared in the form of flux cancellation, 2.9 times as fast as in the coronal hole. (2) More magnetic elements with opposite polarities in the quiet region are connected by arch filaments, estimating from magnetograms and H${\alpha}$ images. (3) We measured the magnetic flux of about 1000 magnetic elements in each observing region. The flux distribution of network and intranetwork (IN) elements is similar in both polarities in the quiet region. For network fields in the coronal hole, the number of negative elements is much more than that of positive elements. However for the IN fields, the number of positive elements is much more than that of negative elements. (4) In the coronal hole, the fraction of negative flux change obviously with different threshold flux density. 73% of the magnetic fields with flux density larger than 2 Gauss is negative polarity, and 95% of the magnetic fields is negative, if we only measure the fields with their flux density larger than 20 Gauss. Our results display that in a coronal hole, stronger fields is occupied by one predominant polarity; however the majority of weaker fields, occupied by the other polarity.",astrophysics,0,296
"Cosmological Constraints on Isocurvature and Tensor Perturbations.   We investigate cosmological constraints on primordial isocurvature and tensor perturbations, using recent observations of the cosmic microwave background and the large scale structure. We find that present observations are consistent with purely adiabatic initial conditions for the structure formation under any priors on correlations of isocurvature modes, and upper limits on the contribution of isocurvature and tensor perturbations are presented. We also apply the obtained constraints to some specific theoretical models, axion isocurvature perturbation models and curvaton models, and give some implications for theoretical models.",astrophysics,0,92
"A sharper view of the outer Galaxy at 1420 and 408 MHz from the Canadian   Galactic Plane Survey - I. Revisiting the KR catalogue and new Gigahertz   Peaked Spectrum Sources.   Arcminute-resolution radio continuum images at 408 and 1420 MHz from the Canadian Galactic Plane Survey (CGPS) have been used to reexamine radio sources listed in the Kallas and Reich (1980) catalogue. This catalogue is of particular interest to Galactic studies as it lists both extended and compact radio sources found in the second Galactic quadrant. We have determined the nature (extended vs. compact, Galactic vs. extragalactic) of all of these bright radio sources. A number of large HII regions with no optical counterparts are highlighted along with a sample of large radio galaxies. Many sources previously thought to be extended Galactic objects are shown to be point sources. A sample of point sources with flat or rising spectra between 408 and 1420 MHz has been compiled, and within this sample likely Gigahertz Peaked Spectrum sources have been identified.",astrophysics,0,168
"RossiXTE monitoring of 4U 1636-53: I. Long-term evolution and kHz   Quasi-Periodic Oscillations.   We have monitored the atoll-type neutron star low-mass X-ray binary 4U 1636-53 with the Rossi X-Ray Timing Explorer (RXTE) for more than 1.5 years. Our campaign consisted of short (~2 ks) pointings separated by two days, regularly monitoring the spectral and timing properties of the source. During the campaign we observed a clear long-term oscillation with a period of ~30-40 days, already seen in the light curves from the RXTE All-Sky Monitor, which corresponded to regular transitions between the hard (island) and soft (banana) states. We detected kHz QPOs in about a third of the observations, most of which were in the soft (banana) state. The distribution of the frequencies of the peak identified as the lower kHz QPO is found to be different from that previously observed in an independent data set. This suggests that the kHz QPOs in the system shows no intrinsically preferred frequency.",astrophysics,0,159
"The ultra-compact binary candidate KUV 23182+1007 is a bright quasar.   KUV 23182+1007 was identified as a blue object in the Kiso UV Survey in the 1980s. Classification-dispersion spectroscopy showed a featureless continuum except for a strong emission line in the region of He II 4686 A. This is a hallmark of the rare AM CVn class of cataclysmic variable star, so we have obtained a high-S/N blue spectrum of this object to check its classification. Instead, the spectrum shows a strong quasar-like emission line centred on 4662 A. Comparison with the SDSS quasar template spectra confirms that KUV 23182+1007 is a quasar with a redshift of z = 0.665.",astrophysics,0,109
"The collision velocity of the bullet cluster in conventional and   modified dynamics.   We consider the orbit of the bullet cluster 1E 0657-56 in both CDM and MOND using accurate mass models appropriate to each case in order to ascertain the maximum plausible collision velocity. Impact velocities consistent with the shock velocity (~ 4700km/s) occur naturally in MOND. CDM can generate collision velocities of at most ~ 3800km/s, and is only consistent with the data provided that the shock velocity has been substantially enhanced by hydrodynamical effects.",astrophysics,0,86
"On the Photometric Redshift Estimates for FR II Radio Galaxies.   Using the photometric data on FR II radio galaxies obtained in the Big Trio Program and data from other sources, we confirmed the stable correlation between the spectroscopic and photometric redshifts up to z~4 determined from the evolutionary synthetic spectra of elliptical galaxies. This is a confirmation for the theoretical predictions of the existence of a stellar population at high redshifts and its subsequent evolution corresponding to the population of giant elliptical galaxies.",astrophysics,0,83
